Jurisdiction,Facility,Year,Month,Unsentenced males,Unsentenced females,Sentenced males,Sentenced females,Total facility ADP
Contra Costa Sheriff's Dept.,Marsh Creek Detention Facility,1996,2,0.0,0.0,266.0,0.0,266.0
Contra Costa Sheriff's Dept.,Martinez Detention Facility,1996,2,464.0,0.0,188.0,0.0,652.0
Contra Costa Sheriff's Dept.,West County Detention Facility ,1996,2,357.0,0.0,242.0,0.0,599.0
Del Norte Sheriff's Dept.,Del Norte County Jail,1996,2,44.0,10.0,30.0,7.0,91.0
El Dorado Sheriff's Dept.,El Dorado County Jail,1996,2,50.0,8.0,99.0,15.0,172.0
El Dorado Sheriff's Dept.,South Lake Tahoe Jail,1996,2,38.0,4.0,57.0,5.0,104.0
Fresno Sheriff's Dept.,Fresno County Main Jail,1996,2,636.0,171.0,71.0,57.0,935.0
Fresno Sheriff's Dept.,Fresno County Satellite Jail,1996,2,0.0,0.0,102.0,0.0,102.0
Fresno Sheriff's Dept.,Fresno North Annex Jail,1996,2,403.0,0.0,5.0,0.0,408.0
Fresno Sheriff's Dept.,Fresno South Annex Jail,1996,2,407.0,0.0,200.0,0.0,607.0
Glenn Sheriff's Dept.,Glenn Co Adult Detention Fac,1996,2,36.34,5.13,25.83,6.0,73.3
Humboldt Sheriff's Dept.,Humboldt Co. Corr. Facility,1996,2,177.0,22.0,25.0,1.0,225.0
